City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,0.91,92,100,0.51,US,['dt']
1,grand baie,-20.0182,57.5802,26.36,82,81,4.74,MU,['dt']
2,port alfred,-33.5906,26.891,18.99,91,3,0.45,ZA,['dt']
3,kone,-21.0595,164.8658,32.15,50,94,1.92,NC,['dt']
4,mersa matruh,31.3525,27.2453,13.11,71,0,2.06,EG,['dt']
5,st. john's,47.5649,-52.7093,-3.35,78,100,12.86,CA,['dt']
6,georgetown,5.4112,100.3354,26.96,59,20,2.06,MY,['dt']
7,tiksi,71.6872,128.8694,-33.15,99,95,2.19,RU,['dt']
8,waitangi,-43.9535,-176.5597,14.83,81,2,5.18,NZ,['dt']
9,grytviken,-54.2811,-36.5092,11.24,54,90,5.91,GS,['dt']
10,chernyshevsk,52.5243,117.0174,-36.56,100,99,0.23,RU,['dt']
11,whitehorse,60.7161,-135.0538,-22.57,69,100,3.09,CA,['dt']
12,el granada,37.5027,-122.4694,12.33,91,100,6.69,US,['dt']
13,genhe,50.7833,121.5167,-34.18,100,100,0.2,CN,['dt']
14,porto novo,6.4965,2.6036,28.9,76,49,3.39,BJ,['dt']
15,bethel,41.3712,-73.414,4.39,90,100,0.89,US,['dt']
16,ribeira grande,38.5167,-28.7,18.22,94,75,10.73,PT,['dt']
17,bilibino,68.0546,166.4372,-44.1,99,49,1.35,RU,['dt']
18,port-aux-francais,-49.35,70.2167,4.99,78,31,15.71,TF,['dt']
19,thompson,55.7435,-97.8558,-24.91,70,20,3.6,CA,['dt']
20,chaman,30.9236,66.4512,2.69,67,0,0.31,PK,['dt']
21,ilulissat,69.2167,-51.1,-3.99,80,75,1.54,GL,['dt']
22,jamestown,42.097,-79.2353,3.34,99,100,4.12,US,['dt']
23,adamstown,-25.066,-130.1015,24.7,67,90,5.63,PN,['dt']
24,ambodifotatra,-16.9833,49.85,26.99,82,93,3.49,MG,['dt']
25,kapa'a,22.0752,-159.319,25.66,77,75,4.12,US,['dt']
26,agboville,5.928,-4.2132,25.8,82,25,1.45,CI,['dt']
27,kingston,17.997,-76.7936,27.53,65,20,9.77,JM,['dt']
28,maceio,-9.6658,-35.7353,25.69,83,20,3.09,BR,['dt']
29,atafu village,-8.5421,-172.5159,28.28,75,31,7.53,TK,['dt']
30,katsuren-haebaru,26.3369,127.8719,19.01,89,100,4.63,JP,['dt']
31,ushuaia,-54.8,-68.3,12.81,50,40,0.0,AR,['dt']
32,mount isa,-20.7333,139.5,31.87,40,1,6.69,AU,['dt']
33,la'ie,21.6477,-157.9253,27.66,72,50,5.47,US,['dt']
34,edinburgh of the seven seas,-37.0676,-12.3116,17.21,84,47,7.91,SH,['dt']
35,punta arenas,-53.15,-70.9167,13.06,58,20,10.8,CL,['dt']
36,la ronge,55.1001,-105.2842,-22.86,70,75,3.6,CA,['dt']
37,yellowknife,62.456,-114.3525,-29.21,90,0,3.6,CA,['dt']
38,vorgashor,67.5833,63.95,-26.95,100,59,1.47,RU,['dt']
39,walker,30.7335,-95.5669,18.88,32,0,5.14,US,['dt']
40,college,64.8569,-147.8028,-26.63,70,40,0.0,US,['dt']
41,pangody,65.85,74.4859,-21.57,97,100,3.97,RU,['dt']
42,colonia,50.9333,6.95,1.09,86,0,1.03,DE,['dt']
43,longyearbyen,78.2186,15.6401,-5.09,80,20,5.66,SJ,['dt']
44,bimbo,4.2567,18.4158,20.96,68,87,1.03,CF,['dt']
45,wailua homesteads,22.0669,-159.378,24.51,77,75,4.12,US,['dt']
46,hakha,22.65,93.6167,8.04,76,18,1.54,MM,['dt']
47,gorontalo,0.5412,123.0595,23.61,92,100,1.5,ID,['dt']
48,sparta,43.9441,-90.8129,5.08,48,0,1.54,US,['dt']
49,tres barras,-26.1064,-50.3222,19.08,98,31,1.57,BR,['dt']
50,chonchi,-42.6128,-73.8092,16.73,55,6,1.0,CL,['dt']
51,yangiobod,41.1192,70.0941,-8.55,71,0,3.4,UZ,['dt']
52,makokou,0.5738,12.8642,24.27,75,97,1.85,GA,['dt']
53,saint-vith,50.2815,6.1272,-3.36,92,68,1.7,BE,['dt']
54,liwale,-9.7667,37.9333,20.62,93,79,1.12,TZ,['dt']
55,arraial do cabo,-22.9661,-42.0278,25.16,87,100,8.19,BR,['dt']
56,xining,36.6167,101.7667,-10.12,90,100,1.34,CN,['dt']
57,badger,64.8,-147.5333,-26.68,75,40,0.0,US,['dt']
58,eureka,40.8021,-124.1637,12.57,95,100,0.45,US,['dt']
59,kodiak,57.79,-152.4072,0.73,55,40,1.54,US,['dt']
60,alamos,27.0167,-108.9333,26.41,7,0,2.99,MX,['dt']
61,dudinka,69.4058,86.1778,-22.2,89,100,4.24,RU,['dt']
62,uturoa,-16.7333,-151.4333,27.76,74,4,4.15,PF,['dt']
63,bredasdorp,-34.5322,20.0403,18.54,78,28,2.06,ZA,['dt']
64,bardai,11.65,7.2333,19.85,24,14,4.77,NG,['dt']
65,abepura,-2.6333,140.5833,26.45,94,40,1.54,ID,['dt']
66,hassi messaoud,31.6804,6.0729,16.92,27,40,8.23,DZ,['dt']
67,tacna,-18.0056,-70.2483,21.11,60,0,4.63,PE,['dt']
68,villa ojo de agua,-29.5,-63.6938,27.1,37,0,3.74,AR,['dt']
69,humberto de campos,-2.5983,-43.4611,24.81,93,100,1.7,BR,['dt']
